"V1"	"V2"	"V3"
"1"	"Make This Video The Most Liked Video On Youtube"	"I Opened A Restaurant That Pays You To Eat At It"	"$456,000 Squid Game In Real Life!"
"2"	"$456,000 Squid Game In Real Life!"	"$456,000 Squid Game In Real Life!"	"Last To Leave Circle Wins $500,000"
"3"	"The Rock Vs MrBeast For $100,000"	"Last To Take Hand Off $1,000,000 Keeps It"	"I Spent 50 Hours Buried Alive"
"4"	"I Spent 50 Hours Buried Alive"	"Youtube Rewind 2020, Thank God It's Over"	"I Spent 50 Hours In Solitary Confinement"
"5"	"If You Click This Video I'll Give My Friend .001$"	"Make This Video The Most Liked Video On Youtube"	"Press This Button To Win $100,000!"
"6"	"Giving iPhones Instead Of Candy on Halloween"	"I Spent 50 Hours Buried Alive"	"Anything You Can Fit In The Circle I’ll Pay For"
"7"	"I Gave People $1,000,000 But ONLY 1 Minute To Spend It!"	"I Gave My 100,000,000th Subscriber An Island"	"Would You Sit In Snakes For $10,000?"
"8"	"Last To Leave Circle Wins $500,000"	"Last To Leave $800,000 Island Keeps It"	"I Put 100 Million Orbeez In My Friend's Backyard"
"9"	"Youtube Rewind 2020, Thank God It's Over"	"Hi Me In 5 Years"	"I Ate A $70,000 Golden Pizza"
"10"	"Hi Me In 5 Years"	"I Adopted EVERY Dog In A Dog Shelter"	"Going Through The Same Drive Thru 1,000 Times"
